id,observed_on,time_observed_at,user_id,latitude,longitude,positional_accuracy,scientific_name,common_name,taxon_id
1452595,2015-05-03,2015-05-03 22:00:00 UTC,34719,51.003413,-114.115527,47,Falco columbarius,Merlin,4672
1456816,2015-05-04,2015-05-05 01:30:00 UTC,34719,51.062854,-114.099594,30,Piranga ludoviciana,Western Tanager,9919
1456838,2015-05-03,2015-05-03 23:30:00 UTC,34719,51.062706,-114.09968,28,Turdus migratorius,American Robin,12727
1502836,2015-05-09,,100585,51.05011,-114.08529,,Agelaius phoeniceus,Red-winged Blackbird,9744
1502842,2015-05-09,,100585,51.05011,-114.08529,,Agelaius phoeniceus,Red-winged Blackbird,9744
1502846,2015-05-09,,100585,51.05011,-114.08529,,Agelaius phoeniceus,Red-winged Blackbird,9744
1502858,2015-05-09,,100585,51.05011,-114.08529,,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,10470
1502862,2015-05-09,,100585,51.05011,-114.08529,,Agelaius phoeniceus,Red-winged Blackbird,9744
1503846,2015-05-15,,100637,50.9772910149,-114.0994119644,,Fulica americana,American Coot,473
1503853,2015-05-15,,100637,50.9773180356,-114.0993261337,,Tachycineta bicolor,Tree Swallow,11935
1503874,2015-05-17,,100637,50.978766,-114.098451,,Setophaga coronata,Yellow-rumped Warbler,145245
1503895,2015-05-17,,100637,50.9772504838,-114.0993046761,,Setophaga petechia,Yellow Warbler,145238
1503900,2015-05-17,,100637,50.9774193631,-114.0992188454,,Actitis macularius,Spotted Sandpiper,72458
1503943,2015-05-17,,100637,50.9786217662,-114.0985429287,,Charadrius vociferus,Killdeer,4793
1503955,2015-05-17,,100637,50.9759061824,-114.0996587276,,Thermopsis rhombifolia,Golden bean,169720
1504067,2015-05-17,,100637,50.9772910149,-114.0993690491,,Mareca americana,American Wigeon,485176
1504073,2015-05-17,,100637,50.9773180356,-114.0993368626,,Branta canadensis,Canada Goose,7089
1505413,2015-05-17,,100762,50.8939384705,-114.0655517578,,Branta canadensis,Canada Goose,7089
1507208,2015-05-12,,100637,50.977583,-114.099291,,Spatula discors,Blue-winged Teal,558433
1507220,2015-05-12,,100637,50.9775342007,-114.0991973877,,Ardea herodias,Great Blue Heron,4956
1507480,2014-08-31,,101071,50.9756916667,-114.0309305556,,Branta canadensis,Canada Goose,7089
1507617,2012-07-15,,100585,51.05011,-114.08529,,Turdus migratorius,American Robin,12727
1507619,2012-07-15,,100585,51.05011,-114.08529,,Turdus migratorius,American Robin,12727
1507666,2012-07-15,,100585,51.05011,-114.08529,,Ardea herodias,Great Blue Heron,4956
1507739,2012-07-15,,100585,51.05011,-114.08529,,Tyrannus tyrannus,Eastern Kingbird,16782
1507746,2012-07-15,,100585,51.05011,-114.08529,,Turdus migratorius,American Robin,12727
1507756,2012-07-15,,100585,51.05011,-114.08529,,Tyrannus tyrannus,Eastern Kingbird,16782
1507794,2012-07-15,,100585,51.05011,-114.08529,,Pelecanus erythrorhynchos,American White Pelican,4334
1507847,2012-07-15,,100585,51.05011,-114.08529,,Anas platyrhynchos,Mallard,6930
1507960,2012-07-29,,100585,51.05011,-114.08529,,Turdus migratorius,American Robin,12727
1507962,2012-07-29,,100585,51.05011,-114.08529,,Ardea herodias herodias,Northeastern Great Blue Heron,236944
1508026,2012-09-02,,100585,51.05011,-114.08529,,Mareca americana,American Wigeon,485176
1508187,2012-09-02,,100585,51.05011,-114.08529,,Colaptes auratus,Northern Flicker,18236
1508211,2012-09-02,,100585,51.05011,-114.08529,,Bucephala clangula,Common Goldeneye,6990
1509155,2015-05-09,,100585,51.05011,-114.08529,,Gallinago delicata,Wilson's Snipe,144496
1509164,2015-05-09,,100585,51.05011,-114.08529,,Gallinago delicata,Wilson's Snipe,144496
1509166,2015-05-09,,100585,51.05011,-114.08529,,Gallinago delicata,Wilson's Snipe,144496
1509168,2015-05-09,,100585,51.05011,-114.08529,,Calidris melanotos,Pectoral Sandpiper,3865
1509169,2015-05-09,,100585,51.05011,-114.08529,,Calidris melanotos,Pectoral Sandpiper,3865
1509180,2015-05-09,,100585,51.05011,-114.08529,,Tringa flavipes,Lesser Yellowlegs,3893
1513467,2015-05-19,,100637,50.9796417578,-114.0984088182,,Leucophaeus pipixcan,Franklin's Gull,144515
1513470,2015-05-19,,100637,50.974806,-114.087779,,Carabus nemoralis,Bronze Ground Beetle,56552
1521012,2015-05-18,,100637,50.9767877513,-114.0993234515,,Caragana arborescens,Siberian peashrub,159827
1521021,2015-05-20,,100637,50.9760480452,-114.1003346443,,Odocoileus hemionus,Mule Deer,42220
1524555,2015-05-20,2015-05-20 21:00:20 UTC,103204,51.044633,-114.029704,562,Papilio memnon,Great Mormon Swallowtail,133442
1526975,2015-05-22,,100637,50.9778044057,-114.0990686417,,Anas platyrhynchos,Mallard,6930
1526997,2015-05-22,,100637,50.9743726856,-114.1019439697,,Spizella pallida,Clay-colored Sparrow,9148
1529138,2015-05-22,,100637,50.9776422829,-114.0991544724,,Leucophaeus pipixcan,Franklin's Gull,144515
1537030,2015-05-23,,100637,50.9845353797,-114.1102051735,,Odocoileus hemionus,Mule Deer,42220
1540115,2015-05-23,2015-05-23 14:50:00 UTC,34719,51.062841,-114.099551,30,Setophaga petechia,Yellow Warbler,145238
1540143,2015-05-23,2015-05-23 14:50:00 UTC,34719,51.062841,-114.099551,30,Troglodytes aedon,House Wren,7562
1542468,2015-05-24,,100637,50.9775071801,-114.0991544724,,Equisetum arvense,field horsetail,52724
1542477,2015-05-24,,100637,50.9773686994,-114.0992563963,,Sympetrum corruptum,Variegated Meadowhawk,68138
1542481,2015-05-24,,100637,50.9774126079,-114.0992537141,,Sympetrum corruptum,Variegated Meadowhawk,68138
1542494,2015-05-24,,100637,50.977919,-114.098969,,Vespula pensylvanica,Western Yellowjacket,61355
1543097,2015-03-14,,105308,50.8974031982,-114.0143966675,,Bubo virginianus,Great Horned Owl,20044
1543249,2015-02-28,,105308,50.9296560992,-114.1373062134,,Glaucidium gnoma,Northern Pygmy-Owl,19812
1543266,2015-05-22,,105313,51.05011,-114.08529,,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,10470
1543272,2015-05-22,,105313,51.05011,-114.08529,,Spatula clypeata,Northern Shoveler,558438
1543274,2015-05-22,,105313,51.05011,-114.08529,,Phalaropus tricolor,Wilson's Phalarope,144497
1543277,2015-05-22,,105313,51.05011,-114.08529,,Lepus townsendii,White-tailed Jackrabbit,43145
1543282,2015-05-22,,105313,51.05011,-114.08529,,Coenagrion resolutum,Taiga Bluet,98280
1543292,2015-05-22,,105313,51.05011,-114.08529,,Arphia,,54248
1543298,2015-05-22,,105313,51.05011,-114.08529,,Chironomidae,Non-biting Midges,53275
1543304,2015-05-22,,105313,51.05011,-114.08529,,Colias philodice,Clouded Sulphur,58531
1543307,2015-05-22,,105313,51.05011,-114.08529,,Aglais milberti,Milbert's Tortoiseshell,68269
1543321,2015-05-22,,105313,51.05011,-114.08529,,Bubo virginianus,Great Horned Owl,20044
1543850,2015-05-10,,105313,51.05011,-114.08529,,Odocoileus hemionus,Mule Deer,42220
1543855,2015-05-10,,105313,51.1942547144,-114.0840280746,,Ovis canadensis,Bighorn Sheep,42391
1544194,2015-05-10,,105313,51.05011,-114.08529,,Nucifraga columbiana,Clark's Nutcracker,8520
1544198,2015-05-10,,105313,51.05011,-114.08529,,Corvus corax,Common Raven,8010
1544565,2015-05-10,,105313,51.05011,-114.08529,,Xanthorioideae,,1232042
1544617,2015-05-21,,105313,51.05011,-114.08529,,Spatula cyanoptera,Cinnamon Teal,558434
1544680,2015-05-21,,105313,51.05011,-114.08529,,Phalaropus tricolor,Wilson's Phalarope,144497
1544694,2015-05-21,,105313,51.05011,-114.08529,,Phalaropus tricolor,Wilson's Phalarope,144497
1544716,2015-05-21,,105313,51.05011,-114.08529,,Himantopus mexicanus,Black-necked Stilt,4836
1544719,2015-05-21,,105313,51.05011,-114.08529,,Podiceps nigricollis,Eared Grebe,4205
1544736,2015-05-21,,105313,51.05011,-114.08529,,Recurvirostra americana,American Avocet,4885
1544738,2015-05-23,,105313,51.05011,-114.08529,,Ephemeroptera,Mayflies,48011
1544759,2015-05-24,,105313,51.05011,-114.08529,,Haemorhous mexicanus,House Finch,199840
1544769,2015-05-23,,105313,51.05011,-114.08529,,Viola canadensis,Canada Violet,70010
1544771,2015-05-23,,105313,51.05011,-114.08529,,Thermopsis rhombifolia,Golden bean,169720
1544775,2015-05-23,,105313,51.05011,-114.08529,,Myosotis sylvatica,Wood Forget-me-not,55826
1544789,2015-05-23,,105313,51.05011,-114.08529,,Pulmonaria officinalis,Lungwort,167599
1548038,2015-05-25,,105313,51.05011,-114.08529,,Primula pauciflora,dark-throated shooting star,498086
1548055,2015-05-25,,105313,51.05011,-114.08529,,Cypripedium parviflorum,yellow lady's slipper,50713
1548072,2015-05-25,,105313,51.05011,-114.08529,,Viola,pansies and violets,743180
1548105,2015-05-25,,105313,51.05011,-114.08529,,Primula cortusoides,siberian primrose,361292
1548280,2015-05-25,,105313,51.05011,-114.08529,,Molothrus ater,Brown-headed Cowbird,10373
1548288,2015-05-25,,105313,51.05011,-114.08529,,Fulica americana,American Coot,473
1548289,2015-05-25,,105313,51.05011,-114.08529,,Pelecanus erythrorhynchos,American White Pelican,4334
1548483,2015-05-24,,105313,51.05011,-114.08529,,Adalia bipunctata,Two-spotted Lady Beetle,52506
1548484,2015-03-02,,105308,51.1009888364,-113.9426422119,,Colaptes auratus,Northern Flicker,18236
1548486,2015-05-24,,105313,51.05011,-114.08529,,Formica,"Wood, Mound, and Field Ants",47339
1548487,2015-05-25,,105313,51.05011,-114.08529,,Tachycineta bicolor,Tree Swallow,11935
1548490,2015-05-25,,105313,51.05011,-114.08529,,Molothrus ater,Brown-headed Cowbird,10373
1548491,2015-05-25,,105313,51.05011,-114.08529,,Sturnella neglecta,Western Meadowlark,9535
1548655,2014-12-06,,105308,51.1007193489,-113.9416122437,,Passer domesticus,House Sparrow,13858
1548662,2014-12-06,,105308,51.100934939,-113.9422988892,,Dryobates pubescens,Downy Woodpecker,792988
1550928,2015-05-26,2015-05-27 02:50:00 UTC,34719,51.061944,-114.100431,15,Canis latrans,Coyote,42051
1553862,2015-05-17,,105991,51.05011,-114.08529,,Bombus huntii,Hunt's Bumble Bee,154043
1557162,2015-05-26,,103724,51.1181788937,-114.10572052,,Ophion,,47993
1557166,2015-05-26,,103724,51.05011,-114.08529,,Banasa dimidiata,Green Burgundy Stink Bug,363224
1557176,2015-05-11,,103724,51.05011,-114.08529,,Pardosa,Thin-legged Wolf Spiders,47415
1558462,2015-05-28,2015-05-28 14:10:00 UTC,34719,51.062976,-114.099487,9,Perdix perdix,Gray Partridge,831
1562432,2015-05-27,,100637,50.9776777473,-114.0991303325,,Actitis macularius,Spotted Sandpiper,72458
1562434,2015-05-27,,100637,50.9773349235,-114.0993475914,,Branta canadensis,Canada Goose,7089
1562724,2014-08-24,,103724,51.130634,-114.081487,1128129,Chlorochroa,,84094
1564730,2015-05-28,2015-05-29 00:50:00 UTC,34719,51.062976,-114.099627,9,Lepus townsendii,White-tailed Jackrabbit,43145
1565615,2015-05-30,2015-05-30 20:40:18 UTC,103204,51.0449971667,-114.0308916667,,Lepidoptera,Butterflies and Moths,47157
1565617,2015-05-30,2015-05-30 20:39:40 UTC,103204,51.0449416667,-114.0310138333,,Hibiscus rosa-sinensis,Chinese hibiscus,62876
1565650,2015-05-30,,100637,50.974752,-114.087779,,Tetragnatha,,47550
1593918,2015-06-04,,100637,50.98086099,-114.1019761562,,Gavia immer,Common Loon,4626
1603809,2015-06-07,,100637,50.9802767082,-114.0963113308,,Bucephala clangula,Common Goldeneye,6990
1603820,2015-06-07,,100637,50.9800521124,-114.096327424,,Agelaius phoeniceus,Red-winged Blackbird,9744
1603827,2015-06-07,,100637,50.9807410946,-114.0968370438,,Agelaius phoeniceus,Red-winged Blackbird,9744
1603853,2015-06-07,,100637,50.977372077,-114.0993261337,,Pandion haliaetus,Osprey,116999
1616624,2015-06-10,,100637,50.974725,-114.087736,1551,Lilioceris lilii,Lily Leaf Beetle,55761
1622312,2015-06-11,,100637,50.98086099,-114.1019815207,,Mergus merganser,Common Merganser,7004
1627381,2015-06-11,2015-06-11 19:44:52 UTC,109417,51.09345,-114.162594,10,Vanessa cardui,Painted Lady,48548
1627382,2015-06-10,2015-06-10 21:47:26 UTC,109417,51.093139,-114.161936,38,Melanocrommyum,,899575
1634468,2015-06-14,,110130,51.032416,-113.98115,1304977,Dryobates pubescens,Downy Woodpecker,792988
1634476,2015-06-14,,110130,51.032405,-113.981152,678665,Fringillidae,"Finches, Euphonias, and Allies",9079
1634495,2015-06-13,,110130,51.03241,-113.981147,1340,Papilio canadensis,Canadian Tiger Swallowtail,57463
1634498,2015-06-13,,110130,51.032406,-113.981164,678665,Corvus brachyrhynchos,American Crow,8021
1638080,2015-06-15,,110130,51.032398,-113.981134,3,Sciurus carolinensis,Eastern Gray Squirrel,46017
1638081,2015-06-16,,110130,51.032398,-113.981142,43333,Poecile atricapillus,Black-capped Chickadee,144815
1638084,2015-06-15,,110130,51.032412,-113.981148,1,Turdus migratorius,American Robin,12727
1641245,2015-06-16,,110130,51.032399,-113.981164,41,Life,life,48460
1641255,2015-06-16,,110130,51.032397,-113.981148,1,Chrysopidae,Green Lacewings,52425
1646488,2015-06-17,,110130,51.032409,-113.981178,10703,Argiope aurantia,Yellow Garden Spider,67707
1646508,2015-06-17,,110130,51.032408,-113.981159,3,Poecile atricapillus,Black-capped Chickadee,144815
1646510,2015-06-17,,110130,51.032397,-113.981155,42745,Haemorhous mexicanus,House Finch,199840
1646833,2015-06-17,,110130,51.032407,-113.981165,43601,Passer domesticus,House Sparrow,13858
1646846,2015-06-17,,110130,51.032417,-113.981158,43588,Pica hudsonia,Black-billed Magpie,143853
1662304,2015-06-21,2015-06-21 16:30:00 UTC,34719,51.054182,-114.126062,73,Actitis macularius,Spotted Sandpiper,72458
1662306,2015-06-21,2015-06-21 17:15:00 UTC,34719,51.054182,-114.126062,73,Leucophaeus pipixcan,Franklin's Gull,144515
1662312,2015-06-21,2015-06-21 18:00:00 UTC,34719,51.054182,-114.126062,73,Mergus merganser,Common Merganser,7004
1665886,2015-06-21,,100637,50.9779124872,-114.0988969803,,Pandion haliaetus,Osprey,116999
1665893,2015-06-21,,100637,50.981370964,-114.1016918421,,Bombycilla cedrorum,Cedar Waxwing,7428
1665898,2015-06-21,,100637,50.9761020881,-114.0997231007,,Anemonastrum canadense,meadow anemone,881527
1666249,2015-06-21,,100637,50.9795606997,-114.0983605385,,Corvus corax,Common Raven,8010
1666940,2015-06-21,,100637,50.9756157001,-114.0998840332,,Rosa,roses,53438
1691734,2015-06-24,,100637,50.9868013335,-114.1060531139,,Linum lewisii,Lewis flax,60490
1691741,2015-06-24,,100637,50.9824922117,-114.1083598137,,Apocynum androsaemifolium,spreading dogbane,47359
1712420,2015-06-30,,110130,51.032405,-113.981141,3,Vanessa cardui,Painted Lady,48548
1712465,2015-06-29,,110130,51.03241,-113.98116,41,Falco columbarius,Merlin,4672
1712525,2015-06-28,,110130,51.03239,-113.981154,1337,Opiliones,Harvestmen,47367
